상추,생육일,생육일별_잎_중량
case4,15,26.8157692812064
case4,16,32.842703098219
case4,17,37.7945396906408
case4,18,42.3640259928777
case4,19,51.5324531988001
case4,20,59.3210078462255
case4,21,72.0902507975086
case4,22,79.7703045327736
case4,23,85.1954991788455
case4,24,95.5441185402811
case4,25,106.873697559319
case4,26,115.539523920872
case4,27,123.224553151068
case4,28,128.563771583643
case5,1,4.22307736445887
case5,2,4.99170885282367
case5,3,4.96608376034272
case5,4,5.00515461935471
case5,5,6.07926069705402
case5,6,7.38574910614654
case5,7,9.32644411194854
case5,8,9.38282688351177
case5,9,12.1622153900388
case5,10,13.0611371966911
case5,11,15.4487335243785
case5,12,18.7189202394876
case5,13,23.0382990748517
case5,14,27.2399999197465
case5,15,31.9348970660656
case5,16,33.9356050354811
case5,17,45.5858775722093
case5,18,49.4693878895871
case5,19,62.737492314654
case5,20,76.1728495858217
case5,21,87.7396746092325
case5,22,96.6579439956609
case5,23,113.266231412292
case5,24,114.892808737437
case5,25,124.121274798068
case5,26,133.107838714702
case5,27,146.566896316797
case5,28,150.635597803608
case6,1,2.10697053925826
case6,2,2.87961852317716
case6,3,3.17690379048938
case6,4,3.3863916458299
case6,5,4.08610251974982
case6,6,4.44676266182443
case6,7,5.29560730787535
case6,8,5.76195650716694
case6,9,6.49135472999268
case6,10,7.06899925789882
case6,11,7.88821779658649
case6,12,8.87808309570653
case6,13,10.0330996764517
case6,14,11.1660729033848
case6,15,12.6288333877445
case6,16,14.6423638193444
case6,17,16.8584831906923
case6,18,19.7087060978345
case6,19,22.8795797199618
case6,20,25.0295619528496
case6,21,27.1509637730523
case6,22,29.1897575381542
case6,23,31.8213109348789
case6,24,34.2266089651627
case6,25,36.0157621174126
case6,26,36.79037461208965
case6,27,37.5649871067667
case6,28,37.9402165946304
case7,1,2.84420877444458
case7,2,2.85058622300634
case7,3,2.90292152159325
case7,4,2.9873783998042
case7,5,2.99693945429194
case7,6,3.10971444621474
case7,7,3.3020206197858
case7,8,3.61025979756894
case7,9,3.99250202961029
case7,10,4.8645228611951
case7,11,5.94890296078728
case7,12,7.40357668610407
case7,13,9.10723080557587
case7,14,10.8057009922821
case7,15,12.3734568331836
case7,16,14.4706933261056
case7,17,15.8782050678144
case7,18,19.0685252182978
case7,19,22.041523476527
case7,20,24.9226367599211
case7,21,28.6000723739128
case7,22,33.1178951731524
case7,23,37.871143531964
case7,24,41.6912702257211
case7,25,47.4629359496571
case7,26,51.1003487157655
case7,27,56.665814132515
case7,28,63.7521118486819
case8,1,1.91811906184545
case8,2,2.0717806948503
case8,3,2.21076764457266
case8,4,2.40926574014178
case8,5,2.80847919939534
case8,6,3.20107129968366
case8,7,3.54108136431135
case8,8,4.15159946525146
case8,9,4.91521844372795
case8,10,5.92759491308111
case8,11,7.14192566412633
case8,12,8.66691126488149
case8,13,10.6371237814303
case8,14,12.9337704308261
case8,15,14.9009981015862
case8,16,16.9574021071997
case8,17,21.4893451423836
case8,18,24.9690976437953
case8,19,26.3495793651595
case8,20,33.046749641138
case8,21,37.8085827017123
case8,22,41.0493728534421
case8,23,46.8124639213584
case8,24,57.9814922310906
case8,25,74.4886320645569
case8,26,76.7946814347605
case8,27,90.184491265087
case8,28,96.2573532513576
case9,1,1.33234423682161
case9,2,1.60453187733495
case9,3,2.0737166734172
case9,4,3.04135138114588
case9,5,3.44306988484341
case9,6,3.79080204193731
case9,7,4.16468946384048
case9,8,5.12192244055596
case9,9,6.15304140270279
case9,10,6.71028628984582
case9,11,9.24447303547018
case9,12,12.7587918914225
case9,13,18.7786063747184
case9,14,18.8766284328191
case9,15,22.2369565388863
case9,16,25.6270372295357
case9,17,29.4753965928032
case9,18,34.7598040086566
case9,19,40.7551494156717
case9,20,44.1818208480361
case9,21,57.874706392036
case9,22,67.4812221477971
case9,23,67.8401876476031
case9,24,70.7530091461534
case9,25,77.4340208071317
case9,26,78.2083794243349
case9,27,80.2176865700456
case9,28,85.121656280574
case10,1,1.24835000505552
case10,2,1.51744851600827
case10,3,1.9326328964061
case10,4,2.42516327620966
case10,5,3.34409571673682
case10,6,3.98644668278073
case10,7,4.98185978405549
case10,8,6.0170572211904
case10,9,7.24066845037098
case10,10,8.85576421411256
case10,11,10.7331138951617
case10,12,11.9991423314985
case10,13,14.2408819864995
case10,14,17.376455770642
case10,15,21.1581551486328
case10,16,24.8656723791344
case10,17,29.3748998423485
case10,18,32.7600565738221
case10,19,37.5559379048875
case10,20,43.2617190124849
case10,21,48.7490813338554
case10,22,63.4362372661009
case10,23,74.6731212348915
case10,24,85.3235008823819
case10,25,89.6608194919622
case10,26,94.8758956551127
case10,27,102.20905563130634
case10,28,109.5422156075
case11,1,11.7641629206507
case11,2,12.5232646566145
case11,3,13.7609128649562
case11,4,15.8139043767443
case11,5,17.5964697535799
case11,6,19.9662753476084
case11,7,22.5874871211339
case11,8,23.9870997517786
case11,9,28.7505807566479
case11,10,34.5824651579793
case11,11,44.1286075355256
case11,12,53.2839511847254
case11,13,66.1978360135162
case11,14,74.4114716455442
case11,15,88.2183960847072
case11,16,100.348686633551
case11,17,107.197092872452
case11,18,108.12025351127
case11,19,118.670513538443
case11,20,128.598181425359
case11,21,137.372643471174
case11,22,145.274517466308
case11,23,149.634797475652
case11,24,152.2444216243
case11,25,153.284016738578
case11,26,158.894610733963
case11,27,162.479376875913
case11,28,164.150299846821
case12,1,0.554853169797396
case12,2,3.22885515816
case12,3,3.38077828808951
case12,4,3.55765921370225
case12,5,3.84642716313491
case12,6,3.90247528355758
case12,7,3.91555623559894
case12,8,3.92256537097722
case12,9,4.16872834720565
case12,10,5.21263324969509
case12,11,6.30509123388874
case12,12,10.3396561276676
case12,13,10.8236939040659
case12,14,12.5631976342994
case12,15,14.9917842571601
case12,16,18.6911797956369
case12,17,23.9888473782488
case12,18,34.1587023658076
case12,19,38.7539393714966
case12,20,48.266501087329
case12,21,57.6813911062616
case12,22,62.4717539187394
case12,23,71.5745413326372
case12,24,81.2614860218752
case12,25,90.7797965098621
case12,26,107.265379278905
case12,27,121.692210349564
case12,28,133.654588963286
case13,1,2.23280757361962
case13,2,4.89987893870983
case13,3,6.9996308505819
case13,4,9.69163005396939
case13,5,14.1719841393021
case13,6,19.2583953374553
case13,7,26.2370316087979
case13,8,26.3831720765937
case13,9,36.9041344982761
case13,10,47.2301186694953
case13,11,60.4468711621402
case13,12,70.0869858282984
case13,13,82.5202529097908
case13,14,102.048533009749
case13,15,112.520310288723
case13,16,125.34295708764
case13,17,126.995970804411
case13,18,132.381327026783
case13,19,139.193548468184
case13,20,148.734949018538
case13,21,150.269004589046
case13,22,151.196226884498
case13,23,153.443267214005
case13,24,159.090535167422
case13,25,159.4131541772
case13,26,159.735773186978
case13,27,158.969353507157
case13,28,159.595770335831
case14,1,3.34299835571874
case14,2,4.7026552862392
case14,3,5.34442763423997
case14,4,6.4699060936307
case14,5,7.88574044918344
case14,6,11.260765022765
case14,7,14.806262705764
case14,8,17.4276784354019
case14,9,22.6227351487845
case14,10,28.7906385227553
case14,11,35.3280395124058
case14,12,39.5938385880675
case14,13,49.9582673433329
case14,14,60.6404995401479
case14,15,67.9128053973784
case14,16,82.5539651674657
case14,17,90.4238840887724
case14,18,109.836316523013
case14,19,123.825265152142
case14,20,133.821256657291
case14,21,140.942179120207
case14,22,151.059451092823
case14,23,156.237593221015
case14,24,156.999678008753
case14,25,156.36407628302
case14,26,156.394870090933
case14,27,158.900840289628
case14,28,161.406810488324
case15,1,0.258002523586275
case15,2,1.11824829248232
case15,3,1.12922534524349
case15,4,1.13449945726451
case15,5,1.79633367436106
case15,6,4.22812679308734
case15,7,4.48857471258091
case15,8,4.68114943568299
case15,9,4.83253012274136
case15,10,4.91847071909435
case15,11,5.84902320523847
case15,12,7.27310973949595
case15,13,9.04643127158006
case15,14,10.5045034640546
case15,15,11.8501319270768
case15,16,13.7682035952162
case15,17,16.1014246343322
case15,18,22.7393106298455
case15,19,29.0647278526704
case15,20,35.328586260583
case15,21,44.7312698259898
case15,22,55.9817665455965
case15,23,67.4363097905741
case15,24,79.7408982025901
case15,25,90.5680494609023
case15,26,97.3732156485024
case15,27,105.308755531588
case15,28,116.671394134977
case16,1,4.96606568969005
case16,2,5.31676981451935
case16,3,6.32150588793899
case16,4,7.41472845945277
case16,5,9.01677524648752
case16,6,11.8401533593531
case16,7,14.9749841296287
case16,8,20.017143755958
case16,9,24.9700688096987
case16,10,31.7495923794703
case16,11,39.315680870088
case16,12,48.4160422025496
case16,13,57.679235166116
case16,14,72.7555442179283
case16,15,80.8962304164617
case16,16,92.6701470837594
case16,17,116.67833332944
case16,18,124.130651790892
case16,19,131.532050252346
case16,20,140.711937529337
case16,21,145.546147238947
case16,22,157.561715594181
case16,23,159.213888258618
case16,24,159.283347050643
case16,25,159.396359228962
case16,26,159.336718268262
case16,27,159.621488540003
case16,28,160.519207398945
case17,1,0.19
case17,2,0.66
case17,3,0.59
case17,4,1.0
case17,5,2.62
case17,6,2.93
case17,7,4.78
case17,8,5.04
case17,9,6.24
case17,10,8.28
case17,11,10.8
case17,12,13.14
case17,13,17.4
case17,14,19.78
case17,15,25.47
case17,16,30.88
case17,17,36.0
case17,18,41.49
case17,19,46.94
case17,20,52.88
case17,21,63.16
case17,22,72.94
case17,23,80.11
case17,24,93.82
case17,25,97.26
case17,26,99.05
case17,27,116.41
case17,28,123.8
case18,1,0.180075560600107
case18,2,0.179932918331715
case18,3,0.661072024237136
case18,4,0.661072024237136
case18,5,1.04588691381912
case18,6,2.44640894384007
case18,7,1.57744693439833
case18,8,2.30065749659884
case18,9,3.16863254681787
case18,10,4.462479960404
case18,11,6.77965436656034
case18,12,8.05996045820091
case18,13,9.93554942794984
case18,14,12.6320435233709
case18,15,16.134863825562
case18,16,18.1650667971768
case18,17,21.0512079917736
case18,18,21.7702589391989
case18,19,24.6745237425512
case18,20,28.167879934808
case18,21,31.5601321387888
case18,22,38.1887438625551
case18,23,45.5613247729631
case18,24,53.8346089623214
case18,25,62.4106516883743
case18,26,70.4199904684292
case18,27,89.2230525664887
case18,28,92.6061738342634
case19,1,0.2245649330442
case19,2,0.193769487004244
case19,3,0.666946233246813
case19,4,1.55389026166628
case19,5,1.17918059080275
case19,6,2.31384157166672
case19,7,3.18328716330418
case19,8,4.77216530573763
case19,9,6.3124913401125
case19,10,8.03745407499372
case19,11,10.3305428624743
case19,12,12.5808322017001
case19,13,15.1800147039977
case19,14,18.6000063725004
case19,15,22.5705078495731
case19,16,26.4670895918878
case19,17,31.2796814023442
case19,18,35.489399942993
case19,19,41.9786908570248
case19,20,49.4982506935226
case19,21,58.0691084970329
case19,22,67.2098620329572
case19,23,75.503257173078
case19,24,85.4189580960667
case19,25,98.1669005614608
case19,26,110.167874964711
case19,27,117.096789951796
case19,28,129.006207939714
case20,1,2.04958939536378
case20,2,2.27077539618138
case20,3,2.77304056534481
case20,4,3.04870297567582
case20,5,3.60781141342875
case20,6,4.33838425613628
case20,7,5.35197104176559
case20,8,6.67567980770276
case20,9,7.95687974233342
case20,10,10.3768816358404
case20,11,13.163844829417
case20,12,15.484402221415
case20,13,18.4002303746619
case20,14,21.7945149522804
case20,15,25.2368473177828
case20,16,29.7588064265877
case20,17,36.0133368786043
case20,18,40.2650292299641
case20,19,44.5767965628792
case20,20,48.0839325351707
case20,21,51.1855746791396
case20,22,54.8521617696516
case20,23,57.7885025101349
case20,24,60.3371085461912
case20,25,61.6876436108092
case20,26,63.3786276235191
case20,27,62.139249975487
case20,28,63.4357176676613
case21,1,1.47344060415988
case21,2,1.51830761041714
case21,3,1.61140637494838
case21,4,1.70531744360481
case21,5,1.99004897249432
case21,6,2.52738374841961
case21,7,3.29011312958104
case21,8,4.08316417985216
case21,9,4.29805061067676
case21,10,4.32241981905604
case21,11,5.53389240282463
case21,12,5.44413265984046
case21,13,6.00429884633148
case21,14,6.0813089524389
case21,15,6.33917287095631
case21,16,6.9261513789876
case21,17,7.15857789531539
case21,18,7.2596891721525
case21,19,7.69459782206843
case21,20,9.85082511697977
case21,21,10.019230411046
case21,22,11.0660031740102
case21,23,11.1195259445431
case21,24,11.7830118292954
case21,25,15.1774330346436
case21,26,18.0938904615281
case21,27,21.8954465007883
case21,28,22.9313929190073
case22,1,0.237154928451104
case22,2,0.502862198577864
case22,3,1.39973643314049
case22,4,1.75929395704199
case22,5,1.98642883417979
case22,6,2.28508835894603
case22,7,2.7522244738412
case22,8,2.77595024491757
case22,9,3.53274772886813
case22,10,4.08009967909605
case22,11,4.5881527115664
case22,12,4.87124332144531
case22,13,5.54381076725336
case22,14,5.93982514517057
case22,15,6.47144846622799
case22,16,7.25126974437525
case22,17,8.10676355840725
case22,18,8.7744450161835
case22,19,9.58168886872258
case22,20,10.8895957450717
case22,21,12.9394942744037
case22,22,14.3010458012727
case22,23,16.364492317813
case22,24,18.9760443586631
case22,25,21.0072004263015
case22,26,23.1378980612753
case22,27,25.8299547001352
case22,28,29.472277358783
case23,1,0.167719388078703
case23,2,0.181787272321195
case23,3,0.265921009145362
case23,4,0.834947043105068
case23,5,1.45010555816872
case23,6,2.20762944158703
case23,7,2.52569658612718
case23,8,3.77189001817194
case23,9,4.4220241893227
case23,10,5.15808109565084
case23,11,6.25431024008327
case23,12,7.46932791888972
case23,13,9.25447388939832
case23,14,11.1409886478879
case23,15,13.5906382655144
case23,16,15.9213014872209
case23,17,18.771032627684
case23,18,21.2861677558073
case23,19,25.6348956164278
case23,20,30.1359548292024
case23,21,34.574336965817
case23,22,40.2096444460182
case23,23,46.1004391780289
case23,24,53.1308864334291
case23,25,62.9419384244209
case23,26,71.3971994310198
case23,27,74.616940210258
case23,28,78.9215094699777
